precinct,office,district,candidate,party,votes
01-446 Aurora,LIEUTENANT GOVERNOR,,"Stevens, Gary L.",REP,18
01-446 Aurora,LIEUTENANT GOVERNOR,,"Wright, Stephen",REP,12
01-446 Aurora,State Senate,A,Registered Voters,,2667
01-446 Aurora,State Senate,A,Times Counted,,171
01-446 Aurora,State Senate,A,"Kawasaki, Scott",DEM,159
01-446 Aurora,State Senate,A,Registered Voters,,2667
01-446 Aurora,State Senate,A,Times Counted,,199
01-446 Aurora,State Senate,A,"Kelly, Pete",REP,159
01-446 Aurora,State House,1,Registered Voters,,2667
01-446 Aurora,State House,1,Times Counted,,171
01-446 Aurora,State House,1,"Dodge, Kathryn E.",DEM,148
01-446 Aurora,State House,1,Registered Voters,,2667
01-446 Aurora,State House,1,Times Counted,,199
01-446 Aurora,State House,1,"LeBon, Barton S.",REP,139
01-446 Aurora,State House,1,"Falke, Wolfgang",REP,49
01-455 Fairbanks No. 1,U.S. House,1,Registered Voters,,512
01-455 Fairbanks No. 1,U.S. House,1,Times Counted,,42
01-455 Fairbanks No. 1,U.S. House,1,"Cumings, Christophe",DEM,5
01-455 Fairbanks No. 1,U.S. House,1,"Galvin, Alyse S.",DEM,17
01-455 Fairbanks No. 1,U.S. House,1,"Hafner, Carol",DEM,7
01-455 Fairbanks No. 1,U.S. House,1,"Shein, Dimitri",DEM,8
01-455 Fairbanks No. 1,U.S. House,1,Registered Voters,,512
01-455 Fairbanks No. 1,U.S. House,1,Times Counted,,42
01-455 Fairbanks No. 1,U.S. House,1,"Nelson, Thomas",REP,5
01-455 Fairbanks No. 1,U.S. House,1,"Whittaker, Jed",REP,9
01-455 Fairbanks No. 1,U.S. House,1,"Young, Don",REP,26
01-455 Fairbanks No. 1,GOVERNOR,,Registered Voters,,512
01-455 Fairbanks No. 1,GOVERNOR,,Times Counted,,42
01-455 Fairbanks No. 1,GOVERNOR,,"Begich, Mark",DEM,32
01-455 Fairbanks No. 1,GOVERNOR,,"Toien, William S.",LIB,6
01-455 Fairbanks No. 1,GOVERNOR,,Registered Voters,,512
01-455 Fairbanks No. 1,GOVERNOR,,Times Counted,,42
01-455 Fairbanks No. 1,GOVERNOR,,"Colbry, Darin A.",REP,1
01-455 Fairbanks No. 1,GOVERNOR,,"Dunleavy, Mike J.",REP,24
01-455 Fairbanks No. 1,GOVERNOR,,"Gordon, Thomas A.",REP,0
01-455 Fairbanks No. 1,GOVERNOR,,"Heikes, Gerald L.",REP,0
01-455 Fairbanks No. 1,GOVERNOR,,"Hlatcu, Merica",REP,1
01-455 Fairbanks No. 1,GOVERNOR,,"Sheldon, Michael D.",REP,1
01-455 Fairbanks No. 1,GOVERNOR,,"Treadwell, Mead",REP,14
01-455 Fairbanks No. 1,LIEUTENANT GOVERNOR,,Registered Voters,,512
01-455 Fairbanks No. 1,LIEUTENANT GOVERNOR,,Times Counted,,42
01-455 Fairbanks No. 1,LIEUTENANT GOVERNOR,,"Call, Debra L.",DEM,35
01-455 Fairbanks No. 1,LIEUTENANT GOVERNOR,,Registered Voters,,512
01-455 Fairbanks No. 1,LIEUTENANT GOVERNOR,,Times Counted,,42
01-455 Fairbanks No. 1,LIEUTENANT GOVERNOR,,"Gattis, Lynn",REP,3
01-455 Fairbanks No. 1,LIEUTENANT GOVERNOR,,"Grunwald, Edie",REP,7
01-455 Fairbanks No. 1,LIEUTENANT GOVERNOR,,"Jackson, Sharon D.",REP,1
01-455 Fairbanks No. 1,LIEUTENANT GOVERNOR,,"Meyer, Kevin G.",REP,15
01-455 Fairbanks No. 1,LIEUTENANT GOVERNOR,,"Stevens, Gary L.",REP,3
01-455 Fairbanks No. 1,LIEUTENANT GOVERNOR,,"Wright, Stephen",REP,7
01-455 Fairbanks No. 1,State Senate,A,Registered Voters,,512
01-455 Fairbanks No. 1,State Senate,A,Times Counted,,42
01-455 Fairbanks No. 1,State Senate,A,"Kawasaki, Scott",DEM,40
01-455 Fairbanks No. 1,State Senate,A,Registered Voters,,512
01-455 Fairbanks No. 1,State Senate,A,Times Counted,,42
01-455 Fairbanks No. 1,State Senate,A,"Kelly, Pete",REP,34
01-455 Fairbanks No. 1,State House,1,Registered Voters,,512
01-455 Fairbanks No. 1,State House,1,Times Counted,,42
01-455 Fairbanks No. 1,State House,1,"Dodge, Kathryn E.",DEM,39
01-455 Fairbanks No. 1,State House,1,Registered Voters,,512
01-455 Fairbanks No. 1,State House,1,Times Counted,,42
01-455 Fairbanks No. 1,State House,1,"LeBon, Barton S.",REP,33
01-455 Fairbanks No. 1,State House,1,"Falke, Wolfgang",REP,7
01-465 Fairbanks No. 2,U.S. House,1,Registered Voters,,1226
01-465 Fairbanks No. 2,U.S. House,1,Times Counted,,70
01-465 Fairbanks No. 2,U.S. House,1,"Cumings, Christophe",DEM,8
01-465 Fairbanks No. 2,U.S. House,1,"Galvin, Alyse S.",DEM,32
01-465 Fairbanks No. 2,U.S. House,1,"Hafner, Carol",DEM,15
01-465 Fairbanks No. 2,U.S. House,1,"Shein, Dimitri",DEM,12
01-465 Fairbanks No. 2,U.S. House,1,Registered Voters,,1226
01-465 Fairbanks No. 2,U.S. House,1,Times Counted,,90
01-465 Fairbanks No. 2,U.S. House,1,"Nelson, Thomas",REP,13
01-465 Fairbanks No. 2,U.S. House,1,"Whittaker, Jed",REP,16
01-465 Fairbanks No. 2,U.S. House,1,"Young, Don",REP,59
01-465 Fairbanks No. 2,GOVERNOR,,Registered Voters,,1226
01-465 Fairbanks No. 2,GOVERNOR,,Times Counted,,70
01-465 Fairbanks No. 2,GOVERNOR,,"Begich, Mark",DEM,57
01-465 Fairbanks No. 2,GOVERNOR,,"Toien, William S.",LIB,12
01-465 Fairbanks No. 2,GOVERNOR,,Registered Voters,,1226
01-465 Fairbanks No. 2,GOVERNOR,,Times Counted,,90
01-465 Fairbanks No. 2,GOVERNOR,,"Colbry, Darin A.",REP,0
01-465 Fairbanks No. 2,GOVERNOR,,"Dunleavy, Mike J.",REP,41
01-465 Fairbanks No. 2,GOVERNOR,,"Gordon, Thomas A.",REP,1
01-465 Fairbanks No. 2,GOVERNOR,,"Heikes, Gerald L.",REP,0
01-465 Fairbanks No. 2,GOVERNOR,,"Hlatcu, Merica",REP,3
01-465 Fairbanks No. 2,GOVERNOR,,"Sheldon, Michael D.",REP,4
01-465 Fairbanks No. 2,GOVERNOR,,"Treadwell, Mead",REP,39
01-465 Fairbanks No. 2,LIEUTENANT GOVERNOR,,Registered Voters,,1226
01-465 Fairbanks No. 2,LIEUTENANT GOVERNOR,,Times Counted,,70
01-465 Fairbanks No. 2,LIEUTENANT GOVERNOR,,"Call, Debra L.",DEM,61
01-465 Fairbanks No. 2,LIEUTENANT GOVERNOR,,Registered Voters,,1226
01-465 Fairbanks No. 2,LIEUTENANT GOVERNOR,,Times Counted,,90
01-465 Fairbanks No. 2,LIEUTENANT GOVERNOR,,"Gattis, Lynn",REP,10
01-465 Fairbanks No. 2,LIEUTENANT GOVERNOR,,"Grunwald, Edie",REP,21
01-465 Fairbanks No. 2,LIEUTENANT GOVERNOR,,"Jackson, Sharon D.",REP,8
01-465 Fairbanks No. 2,LIEUTENANT GOVERNOR,,"Meyer, Kevin G.",REP,17
01-465 Fairbanks No. 2,LIEUTENANT GOVERNOR,,"Stevens, Gary L.",REP,11
01-465 Fairbanks No. 2,LIEUTENANT GOVERNOR,,"Wright, Stephen",REP,16
01-465 Fairbanks No. 2,State Senate,A,Registered Voters,,1226
01-465 Fairbanks No. 2,State Senate,A,Times Counted,,70
01-465 Fairbanks No. 2,State Senate,A,"Kawasaki, Scott",DEM,65
01-465 Fairbanks No. 2,State Senate,A,Registered Voters,,1226
01-465 Fairbanks No. 2,State Senate,A,Times Counted,,90
01-465 Fairbanks No. 2,State Senate,A,"Kelly, Pete",REP,72
01-465 Fairbanks No. 2,State House,1,Registered Voters,,1226
01-465 Fairbanks No. 2,State House,1,Times Counted,,70
01-465 Fairbanks No. 2,State House,1,"Dodge, Kathryn E.",DEM,60
01-465 Fairbanks No. 2,State House,1,Registered Voters,,1226
01-465 Fairbanks No. 2,State House,1,Times Counted,,90
01-465 Fairbanks No. 2,State House,1,"LeBon, Barton S.",REP,51
01-465 Fairbanks No. 2,State House,1,"Falke, Wolfgang",REP,32
01-470 Fairbanks No. 3,U.S. House,1,Registered Voters,,1548
01-470 Fairbanks No. 3,U.S. House,1,Times Counted,,151
01-470 Fairbanks No. 3,U.S. House,1,"Cumings, Christophe",DEM,12
01-470 Fairbanks No. 3,U.S. House,1,"Galvin, Alyse S.",DEM,95
01-470 Fairbanks No. 3,U.S. House,1,"Hafner, Carol",DEM,12
01-470 Fairbanks No. 3,U.S. House,1,"Shein, Dimitri",DEM,25
01-470 Fairbanks No. 3,U.S. House,1,Registered Voters,,1548
01-470 Fairbanks No. 3,U.S. House,1,Times Counted,,144
01-470 Fairbanks No. 3,U.S. House,1,"Nelson, Thomas",REP,22
01-470 Fairbanks No. 3,U.S. House,1,"Whittaker, Jed",REP,27
01-470 Fairbanks No. 3,U.S. House,1,"Young, Don",REP,89
01-470 Fairbanks No. 3,GOVERNOR,,Registered Voters,,1548
01-470 Fairbanks No. 3,GOVERNOR,,Times Counted,,151
01-470 Fairbanks No. 3,GOVERNOR,,"Begich, Mark",DEM,106
01-470 Fairbanks No. 3,GOVERNOR,,"Toien, William S.",LIB,21
01-470 Fairbanks No. 3,GOVERNOR,,Registered Voters,,1548
01-470 Fairbanks No. 3,GOVERNOR,,Times Counted,,144
01-470 Fairbanks No. 3,GOVERNOR,,"Colbry, Darin A.",REP,3
01-470 Fairbanks No. 3,GOVERNOR,,"Dunleavy, Mike J.",REP,66
01-470 Fairbanks No. 3,GOVERNOR,,"Gordon, Thomas A.",REP,6
01-470 Fairbanks No. 3,GOVERNOR,,"Heikes, Gerald L.",REP,3
01-470 Fairbanks No. 3,GOVERNOR,,"Hlatcu, Merica",REP,4
01-470 Fairbanks No. 3,GOVERNOR,,"Sheldon, Michael D.",REP,1
01-470 Fairbanks No. 3,GOVERNOR,,"Treadwell, Mead",REP,58
01-470 Fairbanks No. 3,LIEUTENANT GOVERNOR,,Registered Voters,,1548
01-470 Fairbanks No. 3,LIEUTENANT GOVERNOR,,Times Counted,,151
01-470 Fairbanks No. 3,LIEUTENANT GOVERNOR,,"Call, Debra L.",DEM,107
01-470 Fairbanks No. 3,LIEUTENANT GOVERNOR,,Registered Voters,,1548
01-470 Fairbanks No. 3,LIEUTENANT GOVERNOR,,Times Counted,,144
01-470 Fairbanks No. 3,LIEUTENANT GOVERNOR,,"Gattis, Lynn",REP,14
01-470 Fairbanks No. 3,LIEUTENANT GOVERNOR,,"Grunwald, Edie",REP,29
01-470 Fairbanks No. 3,LIEUTENANT GOVERNOR,,"Jackson, Sharon D.",REP,8
01-470 Fairbanks No. 3,LIEUTENANT GOVERNOR,,"Meyer, Kevin G.",REP,43
01-470 Fairbanks No. 3,LIEUTENANT GOVERNOR,,"Stevens, Gary L.",REP,17
01-470 Fairbanks No. 3,LIEUTENANT GOVERNOR,,"Wright, Stephen",REP,15
01-470 Fairbanks No. 3,State Senate,A,Registered Voters,,1548
01-470 Fairbanks No. 3,State Senate,A,Times Counted,,151
01-470 Fairbanks No. 3,State Senate,A,"Kawasaki, Scott",DEM,137
01-470 Fairbanks No. 3,State Senate,A,Registered Voters,,1548
01-470 Fairbanks No. 3,State Senate,A,Times Counted,,144
01-470 Fairbanks No. 3,State Senate,A,"Kelly, Pete",REP,109
01-470 Fairbanks No. 3,State House,1,Registered Voters,,1548
01-470 Fairbanks No. 3,State House,1,Times Counted,,151
01-470 Fairbanks No. 3,State House,1,"Dodge, Kathryn E.",DEM,137
01-470 Fairbanks No. 3,State House,1,Registered Voters,,1548
01-470 Fairbanks No. 3,State House,1,Times Counted,,144
01-470 Fairbanks No. 3,State House,1,"LeBon, Barton S.",REP,99
01-470 Fairbanks No. 3,State House,1,"Falke, Wolfgang",REP,40
01-475 Fairbanks No. 4,U.S. House,1,Registered Voters,,779
01-475 Fairbanks No. 4,U.S. House,1,Times Counted,,52
01-475 Fairbanks No. 4,U.S. House,1,"Cumings, Christophe",DEM,4
01-475 Fairbanks No. 4,U.S. House,1,"Galvin, Alyse S.",DEM,31
01-475 Fairbanks No. 4,U.S. House,1,"Hafner, Carol",DEM,7
01-475 Fairbanks No. 4,U.S. House,1,"Shein, Dimitri",DEM,7
01-475 Fairbanks No. 4,U.S. House,1,Registered Voters,,779
01-475 Fairbanks No. 4,U.S. House,1,Times Counted,,65
01-475 Fairbanks No. 4,U.S. House,1,"Nelson, Thomas",REP,10
01-475 Fairbanks No. 4,U.S. House,1,"Whittaker, Jed",REP,11
01-475 Fairbanks No. 4,U.S. House,1,"Young, Don",REP,44
01-475 Fairbanks No. 4,GOVERNOR,,Registered Voters,,779
01-475 Fairbanks No. 4,GOVERNOR,,Times Counted,,52
01-475 Fairbanks No. 4,GOVERNOR,,"Begich, Mark",DEM,43
01-475 Fairbanks No. 4,GOVERNOR,,"Toien, William S.",LIB,6
01-475 Fairbanks No. 4,GOVERNOR,,Registered Voters,,779
01-475 Fairbanks No. 4,GOVERNOR,,Times Counted,,65
01-475 Fairbanks No. 4,GOVERNOR,,"Colbry, Darin A.",REP,0
01-475 Fairbanks No. 4,GOVERNOR,,"Dunleavy, Mike J.",REP,25
01-475 Fairbanks No. 4,GOVERNOR,,"Gordon, Thomas A.",REP,0
01-475 Fairbanks No. 4,GOVERNOR,,"Heikes, Gerald L.",REP,0
01-475 Fairbanks No. 4,GOVERNOR,,"Hlatcu, Merica",REP,1
01-475 Fairbanks No. 4,GOVERNOR,,"Sheldon, Michael D.",REP,6
01-475 Fairbanks No. 4,GOVERNOR,,"Treadwell, Mead",REP,30
01-475 Fairbanks No. 4,LIEUTENANT GOVERNOR,,Registered Voters,,779
01-475 Fairbanks No. 4,LIEUTENANT GOVERNOR,,Times Counted,,52
01-475 Fairbanks No. 4,LIEUTENANT GOVERNOR,,"Call, Debra L.",DEM,38
01-475 Fairbanks No. 4,LIEUTENANT GOVERNOR,,Registered Voters,,779
01-475 Fairbanks No. 4,LIEUTENANT GOVERNOR,,Times Counted,,65
01-475 Fairbanks No. 4,LIEUTENANT GOVERNOR,,"Gattis, Lynn",REP,5
01-475 Fairbanks No. 4,LIEUTENANT GOVERNOR,,"Grunwald, Edie",REP,22
01-475 Fairbanks No. 4,LIEUTENANT GOVERNOR,,"Jackson, Sharon D.",REP,6
01-475 Fairbanks No. 4,LIEUTENANT GOVERNOR,,"Meyer, Kevin G.",REP,14
01-475 Fairbanks No. 4,LIEUTENANT GOVERNOR,,"Stevens, Gary L.",REP,7
01-475 Fairbanks No. 4,LIEUTENANT GOVERNOR,,"Wright, Stephen",REP,4
01-475 Fairbanks No. 4,State Senate,A,Registered Voters,,779
01-475 Fairbanks No. 4,State Senate,A,Times Counted,,52
01-475 Fairbanks No. 4,State Senate,A,"Kawasaki, Scott",DEM,48
01-475 Fairbanks No. 4,State Senate,A,Registered Voters,,779
01-475 Fairbanks No. 4,State Senate,A,Times Counted,,65
01-475 Fairbanks No. 4,State Senate,A,"Kelly, Pete",REP,49
01-475 Fairbanks No. 4,State House,1,Registered Voters,,779
01-475 Fairbanks No. 4,State House,1,Times Counted,,52
01-475 Fairbanks No. 4,State House,1,"Dodge, Kathryn E.",DEM,48
01-475 Fairbanks No. 4,State House,1,Registered Voters,,779
01-475 Fairbanks No. 4,State House,1,Times Counted,,65
01-475 Fairbanks No. 4,State House,1,"LeBon, Barton S.",REP,45
01-475 Fairbanks No. 4,State House,1,"Falke, Wolfgang",REP,20
01-480 Fairbanks No. 5,U.S. House,1,Registered Voters,,2203
01-480 Fairbanks No. 5,U.S. House,1,Times Counted,,116
01-480 Fairbanks No. 5,U.S. House,1,"Cumings, Christophe",DEM,7
01-480 Fairbanks No. 5,U.S. House,1,"Galvin, Alyse S.",DEM,65
01-480 Fairbanks No. 5,U.S. House,1,"Hafner, Carol",DEM,14
01-480 Fairbanks No. 5,U.S. House,1,"Shein, Dimitri",DEM,23
01-480 Fairbanks No. 5,U.S. House,1,Registered Voters,,2203
01-480 Fairbanks No. 5,U.S. House,1,Times Counted,,176
01-480 Fairbanks No. 5,U.S. House,1,"Nelson, Thomas",REP,21
01-480 Fairbanks No. 5,U.S. House,1,"Whittaker, Jed",REP,37
01-480 Fairbanks No. 5,U.S. House,1,"Young, Don",REP,113
01-480 Fairbanks No. 5,GOVERNOR,,Registered Voters,,2203
01-480 Fairbanks No. 5,GOVERNOR,,Times Counted,,116
01-480 Fairbanks No. 5,GOVERNOR,,"Begich, Mark",DEM,86
01-480 Fairbanks No. 5,GOVERNOR,,"Toien, William S.",LIB,22
01-480 Fairbanks No. 5,GOVERNOR,,Registered Voters,,2203
01-480 Fairbanks No. 5,GOVERNOR,,Times Counted,,176
01-480 Fairbanks No. 5,GOVERNOR,,"Colbry, Darin A.",REP,2
01-480 Fairbanks No. 5,GOVERNOR,,"Dunleavy, Mike J.",REP,69
01-480 Fairbanks No. 5,GOVERNOR,,"Gordon, Thomas A.",REP,4
01-480 Fairbanks No. 5,GOVERNOR,,"Heikes, Gerald L.",REP,1
01-480 Fairbanks No. 5,GOVERNOR,,"Hlatcu, Merica",REP,3
01-480 Fairbanks No. 5,GOVERNOR,,"Sheldon, Michael D.",REP,6
01-480 Fairbanks No. 5,GOVERNOR,,"Treadwell, Mead",REP,88
01-480 Fairbanks No. 5,LIEUTENANT GOVERNOR,,Registered Voters,,2203
01-480 Fairbanks No. 5,LIEUTENANT GOVERNOR,,Times Counted,,116
01-480 Fairbanks No. 5,LIEUTENANT GOVERNOR,,"Call, Debra L.",DEM,93
01-480 Fairbanks No. 5,LIEUTENANT GOVERNOR,,Registered Voters,,2203
01-480 Fairbanks No. 5,LIEUTENANT GOVERNOR,,Times Counted,,176
01-480 Fairbanks No. 5,LIEUTENANT GOVERNOR,,"Gattis, Lynn",REP,10
01-480 Fairbanks No. 5,LIEUTENANT GOVERNOR,,"Grunwald, Edie",REP,27
01-480 Fairbanks No. 5,LIEUTENANT GOVERNOR,,"Jackson, Sharon D.",REP,10
01-480 Fairbanks No. 5,LIEUTENANT GOVERNOR,,"Meyer, Kevin G.",REP,67
01-480 Fairbanks No. 5,LIEUTENANT GOVERNOR,,"Stevens, Gary L.",REP,24
01-480 Fairbanks No. 5,LIEUTENANT GOVERNOR,,"Wright, Stephen",REP,18
01-480 Fairbanks No. 5,State Senate,A,Registered Voters,,2203
01-480 Fairbanks No. 5,State Senate,A,Times Counted,,116
01-480 Fairbanks No. 5,State Senate,A,"Kawasaki, Scott",DEM,106
01-480 Fairbanks No. 5,State Senate,A,Registered Voters,,2203
01-480 Fairbanks No. 5,State Senate,A,Times Counted,,176
01-480 Fairbanks No. 5,State Senate,A,"Kelly, Pete",REP,139
01-480 Fairbanks No. 5,State House,1,Registered Voters,,2203
01-480 Fairbanks No. 5,State House,1,Times Counted,,116
01-480 Fairbanks No. 5,State House,1,"Dodge, Kathryn E.",DEM,105
01-480 Fairbanks No. 5,State House,1,Registered Voters,,2203
01-480 Fairbanks No. 5,State House,1,Times Counted,,176
01-480 Fairbanks No. 5,State House,1,"LeBon, Barton S.",REP,139
01-480 Fairbanks No. 5,State House,1,"Falke, Wolfgang",REP,28
01-485 Fairbanks No. 6,U.S. House,1,Registered Voters,,1556
01-485 Fairbanks No. 6,U.S. House,1,Times Counted,,58
01-485 Fairbanks No. 6,U.S. House,1,"Cumings, Christophe",DEM,5
01-485 Fairbanks No. 6,U.S. House,1,"Galvin, Alyse S.",DEM,31
01-485 Fairbanks No. 6,U.S. House,1,"Hafner, Carol",DEM,7
01-485 Fairbanks No. 6,U.S. House,1,"Shein, Dimitri",DEM,9
01-485 Fairbanks No. 6,U.S. House,1,Registered Voters,,1556
01-485 Fairbanks No. 6,U.S. House,1,Times Counted,,67
01-485 Fairbanks No. 6,U.S. House,1,"Nelson, Thomas",REP,8
01-485 Fairbanks No. 6,U.S. House,1,"Whittaker, Jed",REP,8
01-485 Fairbanks No. 6,U.S. House,1,"Young, Don",REP,49
01-485 Fairbanks No. 6,GOVERNOR,,Registered Voters,,1556
01-485 Fairbanks No. 6,GOVERNOR,,Times Counted,,58
01-485 Fairbanks No. 6,GOVERNOR,,"Begich, Mark",DEM,47
01-485 Fairbanks No. 6,GOVERNOR,,"Toien, William S.",LIB,7
01-485 Fairbanks No. 6,GOVERNOR,,Registered Voters,,1556
01-485 Fairbanks No. 6,GOVERNOR,,Times Counted,,67
01-485 Fairbanks No. 6,GOVERNOR,,"Colbry, Darin A.",REP,1
01-485 Fairbanks No. 6,GOVERNOR,,"Dunleavy, Mike J.",REP,25
01-485 Fairbanks No. 6,GOVERNOR,,"Gordon, Thomas A.",REP,2
01-485 Fairbanks No. 6,GOVERNOR,,"Heikes, Gerald L.",REP,2
01-485 Fairbanks No. 6,GOVERNOR,,"Hlatcu, Merica",REP,0
01-485 Fairbanks No. 6,GOVERNOR,,"Sheldon, Michael D.",REP,5
01-485 Fairbanks No. 6,GOVERNOR,,"Treadwell, Mead",REP,31
01-485 Fairbanks No. 6,LIEUTENANT GOVERNOR,,Registered Voters,,1556
01-485 Fairbanks No. 6,LIEUTENANT GOVERNOR,,Times Counted,,58
01-485 Fairbanks No. 6,LIEUTENANT GOVERNOR,,"Call, Debra L.",DEM,50
01-485 Fairbanks No. 6,LIEUTENANT GOVERNOR,,Registered Voters,,1556
01-485 Fairbanks No. 6,LIEUTENANT GOVERNOR,,Times Counted,,67
01-485 Fairbanks No. 6,LIEUTENANT GOVERNOR,,"Gattis, Lynn",REP,7
01-485 Fairbanks No. 6,LIEUTENANT GOVERNOR,,"Grunwald, Edie",REP,11
01-485 Fairbanks No. 6,LIEUTENANT GOVERNOR,,"Jackson, Sharon D.",REP,4
01-485 Fairbanks No. 6,LIEUTENANT GOVERNOR,,"Meyer, Kevin G.",REP,22
01-485 Fairbanks No. 6,LIEUTENANT GOVERNOR,,"Stevens, Gary L.",REP,3
01-485 Fairbanks No. 6,LIEUTENANT GOVERNOR,,"Wright, Stephen",REP,11
01-485 Fairbanks No. 6,State Senate,A,Registered Voters,,1556
01-485 Fairbanks No. 6,State Senate,A,Times Counted,,58
01-485 Fairbanks No. 6,State Senate,A,"Kawasaki, Scott",DEM,56
01-485 Fairbanks No. 6,State Senate,A,Registered Voters,,1556
01-485 Fairbanks No. 6,State Senate,A,Times Counted,,67
01-485 Fairbanks No. 6,State Senate,A,"Kelly, Pete",REP,55
01-485 Fairbanks No. 6,State House,1,Registered Voters,,1556
01-485 Fairbanks No. 6,State House,1,Times Counted,,58
01-485 Fairbanks No. 6,State House,1,"Dodge, Kathryn E.",DEM,54
01-485 Fairbanks No. 6,State House,1,Registered Voters,,1556
01-485 Fairbanks No. 6,State House,1,Times Counted,,67
01-485 Fairbanks No. 6,State House,1,"LeBon, Barton S.",REP,44
01-485 Fairbanks No. 6,State House,1,"Falke, Wolfgang",REP,18
01-490 Fairbanks No. 7,U.S. House,1,Registered Voters,,1919
01-490 Fairbanks No. 7,U.S. House,1,Times Counted,,83
01-490 Fairbanks No. 7,U.S. House,1,"Cumings, Christophe",DEM,10
01-490 Fairbanks No. 7,U.S. House,1,"Galvin, Alyse S.",DEM,30
01-490 Fairbanks No. 7,U.S. House,1,"Hafner, Carol",DEM,16
01-490 Fairbanks No. 7,U.S. House,1,"Shein, Dimitri",DEM,22
01-490 Fairbanks No. 7,U.S. House,1,Registered Voters,,1919
01-490 Fairbanks No. 7,U.S. House,1,Times Counted,,73
01-490 Fairbanks No. 7,U.S. House,1,"Nelson, Thomas",REP,16
01-490 Fairbanks No. 7,U.S. House,1,"Whittaker, Jed",REP,6
01-490 Fairbanks No. 7,U.S. House,1,"Young, Don",REP,48
01-490 Fairbanks No. 7,GOVERNOR,,Registered Voters,,1919
01-490 Fairbanks No. 7,GOVERNOR,,Times Counted,,83
01-490 Fairbanks No. 7,GOVERNOR,,"Begich, Mark",DEM,60
01-490 Fairbanks No. 7,GOVERNOR,,"Toien, William S.",LIB,18
01-490 Fairbanks No. 7,GOVERNOR,,Registered Voters,,1919
01-490 Fairbanks No. 7,GOVERNOR,,Times Counted,,73
01-490 Fairbanks No. 7,GOVERNOR,,"Colbry, Darin A.",REP,2
01-490 Fairbanks No. 7,GOVERNOR,,"Dunleavy, Mike J.",REP,38
01-490 Fairbanks No. 7,GOVERNOR,,"Gordon, Thomas A.",REP,3
01-490 Fairbanks No. 7,GOVERNOR,,"Heikes, Gerald L.",REP,0
01-490 Fairbanks No. 7,GOVERNOR,,"Hlatcu, Merica",REP,1
01-490 Fairbanks No. 7,GOVERNOR,,"Sheldon, Michael D.",REP,3
01-490 Fairbanks No. 7,GOVERNOR,,"Treadwell, Mead",REP,24
01-490 Fairbanks No. 7,LIEUTENANT GOVERNOR,,Registered Voters,,1919
01-490 Fairbanks No. 7,LIEUTENANT GOVERNOR,,Times Counted,,83
01-490 Fairbanks No. 7,LIEUTENANT GOVERNOR,,"Call, Debra L.",DEM,59
01-490 Fairbanks No. 7,LIEUTENANT GOVERNOR,,Registered Voters,,1919
01-490 Fairbanks No. 7,LIEUTENANT GOVERNOR,,Times Counted,,73
01-490 Fairbanks No. 7,LIEUTENANT GOVERNOR,,"Gattis, Lynn",REP,8
01-490 Fairbanks No. 7,LIEUTENANT GOVERNOR,,"Grunwald, Edie",REP,8
