county,office,district,candidate,party,votes,precinct
,U.S. House,39,Don Young,REP,22,39-946
,U.S. House,39,Write-ins,,1,39-946
,Governor,39,Mark Begich,DEM,23,39-946
,Governor,39,Mike Dunleavy,REP,16,39-946
,Governor,39,Billy Toien,LIB,5,39-946
,Governor,39,Bill Walker,,1,39-946
,Governor,39,Write-ins,,1,39-946
,State House,39,Neal Foster,DEM,46,39-946
,State House,39,Write-ins,,1,39-946
,U.S. House,39,Alyse Galvin,DEM,119,39-948
,U.S. House,39,Don Young,REP,129,39-948
,U.S. House,39,Write-ins,,0,39-948
,Governor,39,Mark Begich,DEM,156,39-948
,Governor,39,Mike Dunleavy,REP,77,39-948
,Governor,39,Billy Toien,LIB,4,39-948
,Governor,39,Bill Walker,,12,39-948
,Governor,39,Write-ins,,1,39-948
,State House,39,Neal Foster,DEM,216,39-948
,State House,39,Write-ins,,14,39-948
,U.S. House,39,Alyse Galvin,DEM,21,39-950
,U.S. House,39,Don Young,REP,17,39-950
,U.S. House,39,Write-ins,,0,39-950
,Governor,39,Mark Begich,DEM,24,39-950
,Governor,39,Mike Dunleavy,REP,6,39-950
,Governor,39,Billy Toien,LIB,5,39-950
,Governor,39,Bill Walker,,2,39-950
,Governor,39,Write-ins,,1,39-950
,State House,39,Neal Foster,DEM,33,39-950
,State House,39,Write-ins,,1,39-950
,U.S. House,39,Alyse Galvin,DEM,39,39-952
,U.S. House,39,Don Young,REP,27,39-952
,U.S. House,39,Write-ins,,0,39-952
,Governor,39,Mark Begich,DEM,44,39-952
,Governor,39,Mike Dunleavy,REP,13,39-952
,Governor,39,Billy Toien,LIB,3,39-952
,Governor,39,Bill Walker,,5,39-952
,Governor,39,Write-ins,,0,39-952
,State House,39,Neal Foster,DEM,65,39-952
,State House,39,Write-ins,,0,39-952
,U.S. House,39,Alyse Galvin,DEM,139,Absentee
,U.S. House,39,Don Young,REP,130,Absentee
,U.S. House,39,Write-ins,,1,Absentee
,Governor,39,Mark Begich,DEM,188,Absentee
,Governor,39,Mike Dunleavy,REP,68,Absentee
,Governor,39,Billy Toien,LIB,7,Absentee
,Governor,39,Bill Walker,,9,Absentee
,Governor,39,Write-ins,,0,Absentee
,State House,39,Neal Foster,DEM,223,Absentee
,State House,39,Write-ins,,11,Absentee
,U.S. House,39,Alyse Galvin,DEM,70,Question
,U.S. House,39,Don Young,REP,77,Question
,U.S. House,39,Write-ins,,0,Question
,Governor,39,Mark Begich,DEM,87,Question
,Governor,39,Mike Dunleavy,REP,41,Question
,Governor,39,Billy Toien,LIB,6,Question
,Governor,39,Bill Walker,,11,Question
,Governor,39,Write-ins,,0,Question
,State House,39,Neal Foster,DEM,56,Question
,State House,39,Write-ins,,5,Question
,U.S. House,39,Alyse Galvin,DEM,299,Early Voting
,U.S. House,39,Don Young,REP,174,Early Voting
,U.S. House,39,Write-ins,,2,Early Voting
,Governor,39,Mark Begich,DEM,329,Early Voting
,Governor,39,Mike Dunleavy,REP,124,Early Voting
,Governor,39,Billy Toien,LIB,12,Early Voting
,Governor,39,Bill Walker,,9,Early Voting
,Governor,39,Write-ins,,2,Early Voting
,State House,39,Neal Foster,DEM,412,Early Voting
,State House,39,Write-ins,,19,Early Voting
