county,office,district,candidate,party,votes,precinct
,State Senate,26,Janice Park,DEM,35,Question
,State Senate,26,Write-ins,,1,Question
,State House,26,Anita Thorne,DEM,29,Question
,State House,26,Laddie Shaw,REP,41,Question
,State House,26,Write-ins,,1,Question
,U.S. House,26,Alyse Galvin,DEM,744,Early Voting
,U.S. House,26,Don Young,REP,632,Early Voting
,U.S. House,26,Write-ins,,6,Early Voting
,Governor,26,Mark Begich,DEM,756,Early Voting
,Governor,26,Mike Dunleavy,REP,603,Early Voting
,Governor,26,Billy Toien,LIB,6,Early Voting
,Governor,26,Bill Walker,,17,Early Voting
,Governor,26,Write-ins,,3,Early Voting
,State Senate,26,Chris Birch,REP,709,Early Voting
,State Senate,26,Janice Park,DEM,657,Early Voting
,State Senate,26,Write-ins,,5,Early Voting
,State House,26,Anita Thorne,DEM,624,Early Voting
,State House,26,Laddie Shaw,REP,738,Early Voting
,State House,26,Write-ins,,6,Early Voting
